question,segment_type,segment_description,answer,count,percentage
Best stories on Snapchat discover?,Mobile,Mobile respondents,Daily Mail,420,0.057
Best stories on Snapchat discover?,Mobile,Mobile respondents,Vice,561,0.076
Best stories on Snapchat discover?,Mobile,Mobile respondents,Buzzfeed,1987,0.269
Best stories on Snapchat discover?,Mobile,Mobile respondents,Comedy Central,615,0.083
Best stories on Snapchat discover?,Mobile,Mobile respondents,People,173,0.023
Best stories on Snapchat discover?,Mobile,Mobile respondents,ESPN,1056,0.143
Best stories on Snapchat discover?,Mobile,Mobile respondents,Cosmo,993,0.134
Best stories on Snapchat discover?,Web,Web-based respondents,Never watched those / other,3,0.375
Best stories on Snapchat discover?,Gender,Female respondents,Daily Mail,145,0.047
Best stories on Snapchat discover?,Gender,Female respondents,Vice,128,0.041
Best stories on Snapchat discover?,Gender,Female respondents,Buzzfeed,1297,0.419
Best stories on Snapchat discover?,Gender,Female respondents,Comedy Central,93,0.03
Best stories on Snapchat discover?,Gender,Female respondents,People,97,0.031
Best stories on Snapchat discover?,Gender,Female respondents,ESPN,49,0.016
Best stories on Snapchat discover?,Gender,Female respondents,Cosmo,831,0.268
Best stories on Snapchat discover?,Gender,Female respondents,Never watched those / other,456,0.147
Best stories on Snapchat discover?,Gender,Male respondents,Daily Mail,273,0.064
Best stories on Snapchat discover?,Gender,Male respondents,Vice,432,0.101
Best stories on Snapchat discover?,Gender,Male respondents,Buzzfeed,683,0.16
Best stories on Snapchat discover?,Gender,Male respondents,Comedy Central,520,0.122
Best stories on Snapchat discover?,Gender,Male respondents,People,74,0.017
Best stories on Snapchat discover?,Gender,Male respondents,ESPN,1006,0.236
Best stories on Snapchat discover?,Gender,Male respondents,Cosmo,161,0.038
Best stories on Snapchat discover?,Mobile,Mobile respondents,Never watched those / other,1584,0.214
Best stories on Snapchat discover?,Web,Web-based respondents,Daily Mail,1,0.125
Best stories on Snapchat discover?,Web,Web-based respondents,Vice,1,0.125
Best stories on Snapchat discover?,Web,Web-based respondents,Buzzfeed,2,0.25
Best stories on Snapchat discover?,Web,Web-based respondents,Comedy Central,1,0.125
Best stories on Snapchat discover?,Web,Web-based respondents,People,0,0.0
Best stories on Snapchat discover?,Web,Web-based respondents,ESPN,0,0.0
Best stories on Snapchat discover?,Web,Web-based respondents,Cosmo,0,0.0
Best stories on Snapchat discover?,Gender,Male respondents,Never watched those / other,1118,0.262
Best stories on Snapchat discover?,University,Baylor University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Baylor University,Vice,0,0.0
Best stories on Snapchat discover?,University,Baylor University,Buzzfeed,2,0.4
Best stories on Snapchat discover?,University,Baylor University,Comedy Central,1,0.2
Best stories on Snapchat discover?,University,Baylor University,People,0,0.0
Best stories on Snapchat discover?,University,Baylor University,ESPN,1,0.2
Best stories on Snapchat discover?,University,Baylor University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Baylor University,Never watched those / other,1,0.2
Best stories on Snapchat discover?,University,Villanova University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Villanova University,Vice,0,0.0
Best stories on Snapchat discover?,University,Villanova University,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Villanova University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Villanova University,People,0,0.0
Best stories on Snapchat discover?,University,Villanova University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Villanova University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Villanova University,Never watched those / other,2,1.0
Best stories on Snapchat discover?,University,University of Wisconsin-La Crosse,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,University of Wisconsin-La Crosse,Vice,0,0.0
Best stories on Snapchat discover?,University,University of Wisconsin-La Crosse,Buzzfeed,1,1.0
Best stories on Snapchat discover?,University,University of Wisconsin-La Crosse,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,University of Wisconsin-La Crosse,People,0,0.0
Best stories on Snapchat discover?,University,University of Wisconsin-La Crosse,ESPN,0,0.0
Best stories on Snapchat discover?,University,University of Wisconsin-La Crosse,Cosmo,0,0.0
Best stories on Snapchat discover?,University,University of Wisconsin-La Crosse,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Heidelberg University,Daily Mail,1,1.0
